Latitude,Longitude,Station,Depth,Temperature,Salinity,Nitrate,Iron,Ratio,Density
17.3525,341.74689,Station 9,235.7,12.65,35.439999,28.08,,,26.67457245952255
17.3525,341.74689,Station 9,236.3,12.82,35.490002,26.32,,,26.679092477335416
17.3525,341.74689,Station 9,249.3,12.66,35.48,28.4,,,26.703280476418968
17.3525,341.74689,Station 9,285.2,12.24,35.419998,28.8949995,1.6904880000000002,17092.697197495632,26.739634297460952
17.3525,341.74689,Station 9,348.4,11.46,35.349998,31.67,,,26.834165238873766
17.3525,341.74689,Station 9,361.1,11.33,35.330002,31.54,1.4737135000000001,21401.717498007583,26.84289355131432
17.3525,341.74689,Station 9,388.6,11.03,35.310001,32.23,,,26.88250907741235
17.3525,341.74689,Station 9,389.3,11.02,35.299999,31.5,,,26.876613272436998
17.3525,341.74689,Station 9,389.4,11.02,35.299999,31.57,,,26.876613272436998
17.3525,341.74689,Station 9,390.0,,,,,,
17.3525,341.74689,Station 9,457.0,10.42,35.240002,33.209999,,,26.937520584434196
17.3538,339.17889,Station 10,2.0,,,,,,
17.3538,339.17889,Station 10,5.0,27.35,36.220001,,,,23.38437715067232
17.3538,339.17889,Station 10,17.1,27.34,36.220001,0.0,,,23.387613894123774
17.3538,339.17889,Station 10,27.2,26.16,36.279999,0.04,,,23.808626776966662
17.3538,339.17889,Station 10,30.0,,,,,,
17.3538,339.17889,Station 10,31.5,27.37,36.25,0.005,0.473171,10.567004317677965,23.399986420753862
17.3538,339.17889,Station 10,31.9,25.77,36.330002,0.09,,,23.967838173068003
17.3538,339.17889,Station 10,50.0,,,,,,
17.3538,339.17889,Station 10,50.6,18.01,35.860001,16.145000500000002,0.384756,41961.66011706121,25.79585064694743
17.3538,339.17889,Station 10,51.8,18.225,35.905001,14.57,,,25.77625542547753
17.3538,339.17889,Station 10,76.6,16.71,35.830002,22.379999,,,26.088273159550454
17.3538,339.17889,Station 10,84.6,15.14,35.66,24.679999000000002,1.309756,18843.203619605487,26.319286140051872
17.3538,339.17889,Station 10,86.6,15.23,35.669998,24.68,,,26.30687236813924
17.3538,339.17889,Station 10,100.0,,,,,,
17.3538,339.17889,Station 10,100.7,14.42,35.57,25.1149995,1.38878,18084.217442647503,26.40812013308937
17.3538,339.17889,Station 10,101.0,14.51,35.580002,25.02,,,26.396342600334265
17.3538,339.17889,Station 10,101.3,15.02,35.650002,24.620001,,,26.33825408632356
17.3538,339.17889,Station 10,121.4,14.26,35.560001,24.99,,,26.43480242153828
17.3538,339.17889,Station 10,140.0,,,,,,
17.3538,339.17889,Station 10,140.6,13.67,35.540001,24.5199995,1.411707,17369.042938796792,26.54396135903221
17.3538,339.17889,Station 10,140.7,13.87,35.580002,24.379999,,,26.53272235076497
17.3538,339.17889,Station 10,140.9,14.36,35.68,23.530001,,,26.504964060510474
17.3538,339.17889,Station 10,185.0,12.93,35.41,25.73,,,26.59571775885115
17.3538,339.17889,Station 10,185.6,12.84,35.389999,25.719999,,,26.59841148029568
17.3538,339.17889,Station 10,186.3,12.82,35.400002,25.775000499999997,1.406342,18327.690206222953,26.61007722062709
17.3538,339.17889,Station 10,234.5,12.69,35.439999,26.27,,,26.666638846539854
17.3538,339.17889,Station 10,234.8,12.72,35.459999,26.41,,,26.676020153788613
17.3538,339.17889,Station 10,235.0,,,,,,
17.3538,339.17889,Station 10,235.2,12.55,35.41,26.545,1.39561,19020.356689906206,26.67131488384757
17.3538,339.17889,Station 10,288.4,12.08,35.380001,28.139999,,,26.73982634247227
17.3538,339.17889,Station 10,290.5,12.07,35.389999,28.915,1.52878,18913.774382187104,26.749435777533563
17.3538,339.17889,Station 10,416.6,10.83,35.279999,31.950001,,,26.895539387749295
17.3538,339.17889,Station 10,417.7,10.74,35.279999,31.940001,,,26.91168512930699
17.3538,339.17889,Station 10,420.0,,,,,,
