Station,Latitude,Longitude,Depth,Temperature,Salinity,Nitrate,Iron
PS71/101,-42.3406,8.99454,2004.5,2.606,34.765999,28.83,0.62439
PS71/101,-42.3406,8.99454,2500.7,2.352,34.818001,26.780001,0.614634
PS71/101,-42.3406,8.99454,2999.6001,2.119,34.827999,26.41,0.604878
PS71/101,-42.3406,8.99454,3000.0,2.12,34.826,,
PS71/101,-42.3406,8.99454,3001.2,2.12,34.826,,
PS71/101,-42.3406,8.99454,3505.3,1.602,34.783001,28.559999,0.390244
PS71/101,-42.3406,8.99454,4000.3,1.08,34.736,30.66,0.321951
PS71/101,-42.3406,8.99454,4352.7998,1.079,34.731998,30.92,0.273171
PS71/101,-42.3406,8.99454,4354.2002,1.079,34.733002,30.959999,
PS71/101,-42.3406,8.99454,4410.5,1.086,34.731998,,
PS71/101,-42.3406,8.99454,4412.8999,1.086,34.731998,,
PS71/161,-66.5002,359.99774,7.0,,,,
PS71/161,-66.5002,359.99774,9.8,-0.756,33.91,25.65,0.282927
PS71/161,-66.5002,359.99774,28.0,-1.168,34.099998,26.389999,0.156098
PS71/161,-66.5002,359.99774,40.3,-1.706,34.321999,,
PS71/161,-66.5002,359.99774,40.4,-1.694,34.316002,,
PS71/161,-66.5002,359.99774,40.5,-1.702,34.326,,
PS71/161,-66.5002,359.99774,40.5,-1.699,34.317001,,
PS71/161,-66.5002,359.99774,40.8,-1.721,34.334,,
PS71/161,-66.5002,359.99774,40.9,-1.661,34.304001,,
PS71/161,-66.5002,359.99774,41.0,-1.71,34.327999,,
PS71/161,-66.5002,359.99774,41.0,-1.363,34.175999,,
PS71/161,-66.5002,359.99774,41.0,-1.709,34.331001,,
PS71/161,-66.5002,359.99774,41.0,-1.712,34.325001,,
PS71/161,-66.5002,359.99774,41.2,-1.711,34.333,,
PS71/161,-66.5002,359.99774,41.2,-1.692,34.313999,,
PS71/161,-66.5002,359.99774,41.2,-1.705,34.325001,,
PS71/161,-66.5002,359.99774,41.3,-1.704,34.327,,
PS71/161,-66.5002,359.99774,41.3,-1.716,34.327,,
PS71/161,-66.5002,359.99774,41.3,-1.719,34.334999,,
PS71/161,-66.5002,359.99774,41.3,-1.705,34.328999,,
PS71/161,-66.5002,359.99774,41.4,-1.702,34.321999,,
PS71/161,-66.5002,359.99774,41.4,-1.658,34.304001,,
PS71/161,-66.5002,359.99774,41.6,-1.714,34.333,,
PS71/161,-66.5002,359.99774,41.6,-1.708,34.328999,,
PS71/161,-66.5002,359.99774,41.6,-1.71,34.326,,
PS71/161,-66.5002,359.99774,41.7,-1.643,34.298,,
PS71/161,-66.5002,359.99774,41.8,-1.698,34.325001,,
PS71/161,-66.5002,359.99774,44.2,-1.736,34.334,29.75,0.165854
PS71/161,-66.5002,359.99774,49.5,-1.765,34.347,30.370001,0.156098
PS71/161,-66.5002,359.99774,76.6,-0.972,34.432999,31.83,0.185366
PS71/161,-66.5002,359.99774,100.0,0.78,34.639999,,
PS71/161,-66.5002,359.99774,100.5,0.585,34.612,34.0,0.17561
PS71/161,-66.5002,359.99774,100.5,0.756,34.637001,,
PS71/161,-66.5002,359.99774,150.3,1.019,34.671001,33.790001,0.234146
PS71/161,-66.5002,359.99774,200.0,,,,
PS71/161,-66.5002,359.99774,200.5,1.065,34.688,,
PS71/161,-66.5002,359.99774,200.5,1.063,34.688,,
PS71/161,-66.5002,359.99774,202.8,1.064,34.687,33.34,0.273171
PS71/161,-66.5002,359.99774,250.5,1.058,34.695,33.48,0.273171
PS71/161,-66.5002,359.99774,299.0,1.015,34.698002,33.25,0.263415
PS71/161,-66.5002,359.99774,440.0,,,,
PS71/161,-66.5002,359.99774,440.0,0.795,34.694,,
PS71/161,-66.5002,359.99774,440.1,0.8,34.694,,
PS71/161,-66.5002,359.99774,440.6,0.793,34.694,,
PS71/161,-66.5002,359.99774,440.9,0.798,34.694,,
PS71/161,-66.5002,359.99774,441.0,0.8,34.694,,
PS71/161,-66.5002,359.99774,441.0,0.799,34.694,,
PS71/161,-66.5002,359.99774,441.1,0.8,34.694,,
PS71/161,-66.5002,359.99774,441.5,0.8,34.694,,
PS71/161,-66.5002,359.99774,500.1,0.805,34.698002,33.32,
PS71/161,-66.5002,359.99774,748.3,0.609,34.693001,33.720001,
PS71/161,-66.5002,359.99774,750.0,0.608,34.693001,33.68,0.419512
PS71/161,-66.5002,359.99774,799.2,0.578,34.693001,,
PS71/161,-66.5002,359.99774,799.9,0.576,34.693001,,
PS71/161,-66.5002,359.99774,800.1,0.577,34.693001,,
PS71/161,-66.5002,359.99774,800.2,0.575,34.693001,,
PS71/161,-66.5002,359.99774,800.2,0.554,34.692001,,
PS71/161,-66.5002,359.99774,800.3,0.575,34.693001,,
PS71/161,-66.5002,359.99774,800.4,0.576,34.693001,,
PS71/161,-66.5002,359.99774,801.3,0.554,34.692001,,
